secid,date,return
108105,19971117,0.019228
108105,19971118,-0.008423
108105,19971119,0.006779
108105,19971120,0.015234
108105,19971121,0.004286
108105,19971124,-0.017049
108105,19971125,0.004384
108105,19971126,0.000862
108105,19971128,0.003951
108105,19971201,0.020274
108105,19971202,-0.00317
108105,19971203,0.005238
108105,19971204,-0.003757
108105,19971205,0.010986
108105,19971208,-0.001443
108105,19971209,-0.006708
108105,19971210,-0.006139
108105,19971211,-0.015313
108105,19971212,-0.001623
108105,19971215,0.010489
108105,19971216,0.004827
108105,19971217,-0.002583
108105,19971218,-0.010605
108105,19971219,-0.008919
108105,19971222,0.007309
108105,19971223,-0.015277
108105,19971224,-0.006847
108105,19971226,0.004031
108105,19971229,0.018036
108105,19971230,0.018346
108105,19971231,-0.000422
108105,19980102,0.00475
108105,19980105,0.002082
108105,19980106,-0.010736
108105,19980107,-0.002669
108105,19980108,-0.008247
108105,19980109,-0.029664
108105,19980112,0.012418
108105,19980113,0.013746
108105,19980114,0.006113
108105,19980115,-0.007527
108105,19980116,0.011339
108105,19980120,0.017774
108105,19980121,-0.00796
108105,19980122,-0.008004
108105,19980123,-0.005659
108105,19980126,-0.000668
108105,19980127,0.012613
108105,19980128,0.00871
108105,19980129,0.008215
108105,19980130,-0.005287
108105,19980202,0.021412
108105,19980203,0.004724
108105,19980204,0.000895
108105,19980205,-0.003337
108105,19980206,0.008889
108105,19980209,-0.001699
108105,19980210,0.008182
108105,19980211,0.000981
108105,19980212,0.004049
108105,19980213,-0.003955
108105,19980217,0.002617
108105,19980218,0.009113
108105,19980219,-0.003682
108105,19980220,0.005767
108105,19980223,0.0038
108105,19980224,-0.007301
108105,19980225,0.011974
108105,19980226,0.005533
108105,19980227,0.000639
108105,19980302,-0.001563
108105,19980303,0.004123
108105,19980304,-0.004458
108105,19980305,-0.011725
108105,19980306,0.019941
108105,19980309,-0.003202
108105,19980310,0.011346
108105,19980311,0.003965
108105,19980312,0.001357
108105,19980313,-0.001224
108105,19980316,0.009976
108105,19980317,0.001093
108105,19980318,0.004693
108105,19980319,0.003888
108105,19980320,0.008644
108105,19980323,-0.003284
108105,19980324,0.009219
108105,19980325,-0.003365
108105,19980326,-0.001025
108105,19980327,-0.004869
108105,19980330,-0.001725
108105,19980331,0.007498
108105,19980401,0.005809
108105,19980402,0.010703
108105,19980403,0.002402
108105,19980406,-0.001176
108105,19980407,-0.010549
108105,19980408,-0.00712
108105,19980409,0.008188
108105,19980413,-0.000882
108105,19980414,0.005461
108105,19980415,0.0032
108105,19980416,-0.009961
108105,19980417,0.01313
108105,19980420,0.000828
108105,19980421,0.002688
108105,19980422,0.003435
108105,19980423,-0.009695
108105,19980424,-0.010432
108105,19980427,-0.01928
108105,19980428,-0.001316
108105,19980429,0.008773
108105,19980430,0.01564
108105,19980501,0.00832
108105,19980504,0.000954
108105,19980505,-0.005855
108105,19980506,-0.009484
108105,19980507,-0.008851
108105,19980508,0.011871
108105,19980511,-0.001354
108105,19980512,0.008268
108105,19980513,0.002751
108105,19980514,-0.001332
108105,19980515,-0.007732
108105,19980518,-0.002625
108105,19980519,0.003346
108105,19980520,0.008598
108105,19980521,-0.00395
108105,19980522,-0.003741
108105,19980526,-0.014814
108105,19980527,-0.001636
108105,19980528,0.004917
108105,19980529,-0.006177
108105,19980601,0.000147
108105,19980602,0.002053
108105,19980603,-0.009595
108105,19980604,0.011175
108105,19980605,0.017382
108105,19980608,0.00167
108105,19980609,0.002411
108105,19980610,-0.005481
108105,19980611,-0.015913
108105,19980612,0.003892
108105,19980615,-0.019866
108105,19980616,0.009823
108105,19980617,0.017948
108105,19980618,-0.000668
108105,19980619,-0.00517
108105,19980622,0.002353
108105,19980623,0.014729
108105,19980624,0.011961
108105,19980625,-0.003178
108105,19980626,0.003471
108105,19980629,0.004668
108105,19980630,-0.004084
108105,19980701,0.012983
108105,19980702,-0.001863
108105,19980706,0.009517
108105,19980707,-0.002307
108105,19980708,0.01015
108105,19980709,-0.006704
108105,19980710,0.00498
108105,19980713,0.000739
108105,19980714,0.010633
108105,19980715,-0.002352
108105,19980716,0.007814
108105,19980717,0.002331
108105,19980720,-0.002233
108105,19980721,-0.016071
108105,19980722,-0.00085
108105,19980723,-0.020901
108105,19980724,0.000921
108105,19980727,0.005671
108105,19980728,-0.014844
108105,19980729,-0.00445
108105,19980730,0.015766
108105,19980731,-0.019493
108105,19980803,-0.007344
108105,19980804,-0.036245
108105,19980805,0.008684
108105,19980806,0.007583
108105,19980807,-0.000165
108105,19980810,-0.005792
108105,19980811,-0.013073
108105,19980812,0.014257
108105,19980813,-0.008587
108105,19980814,-0.011313
108105,19980817,0.019685
108105,19980818,0.016176
108105,19980819,-0.002851
108105,19980820,-0.005883
108105,19980821,-0.009491
108105,19980824,0.006382
108105,19980825,0.004328
