secid,date,close
108105,19990115,1243.26
108105,19990119,1252
108105,19990120,1256.62
108105,19990121,1235.16
108105,19990122,1225.19
108105,19990125,1233.98
108105,19990126,1252.31
108105,19990127,1243.17
108105,19990128,1265.37
108105,19990129,1279.64
108105,19990201,1273
108105,19990202,1261.99
108105,19990203,1272.07
108105,19990204,1248.49
108105,19990205,1239.4
108105,19990208,1243.77
108105,19990209,1216.14
108105,19990210,1223.55
108105,19990211,1254.04
108105,19990212,1230.13
108105,19990216,1241.87
108105,19990217,1224.03
108105,19990218,1237.28
108105,19990219,1239.22
108105,19990222,1272.14
108105,19990223,1271.18
108105,19990224,1253.41
108105,19990225,1245.02
108105,19990226,1238.33
108105,19990301,1236.16
108105,19990302,1225.5
108105,19990303,1227.7
108105,19990304,1246.64
108105,19990305,1275.47
108105,19990308,1282.73
108105,19990309,1279.84
108105,19990310,1286.84
108105,19990311,1297.68
108105,19990312,1294.59
108105,19990315,1307.26
108105,19990316,1306.38
108105,19990317,1297.82
108105,19990318,1316.55
108105,19990319,1299.29
108105,19990322,1297.01
108105,19990323,1262.14
108105,19990324,1268.59
108105,19990325,1289.99
108105,19990326,1282.8
108105,19990329,1310.17
108105,19990330,1300.75
108105,19990331,1286.37
108105,19990401,1293.72
108105,19990405,1321.12
108105,19990406,1317.89
108105,19990407,1326.89
108105,19990408,1343.98
108105,19990409,1348.35
108105,19990412,1358.64
108105,19990413,1349.82
108105,19990414,1328.44
108105,19990415,1322.86
108105,19990416,1319
108105,19990419,1289.48
108105,19990420,1306.17
108105,19990421,1336.12
108105,19990422,1358.82
108105,19990423,1356.85
108105,19990426,1360.04
108105,19990427,1362.8
108105,19990428,1350.91
108105,19990429,1342.83
108105,19990430,1335.18
108105,19990503,1354.63
108105,19990504,1332
108105,19990505,1347.31
108105,19990506,1332.05
108105,19990507,1345
108105,19990510,1340.3
108105,19990511,1355.61
108105,19990512,1364
108105,19990513,1367.56
108105,19990514,1337.8
108105,19990517,1339.49
108105,19990518,1333.32
108105,19990519,1344.23
108105,19990520,1338.83
108105,19990521,1330.29
108105,19990524,1306.65
108105,19990525,1284.4
108105,19990526,1304.76
108105,19990527,1281.41
108105,19990528,1301.84
108105,19990601,1294.26
108105,19990602,1294.81
108105,19990603,1299.54
108105,19990604,1327.75
108105,19990607,1334.52
108105,19990608,1317.33
108105,19990609,1318.64
108105,19990610,1302.82
108105,19990611,1293.64
108105,19990614,1294
108105,19990615,1301.16
108105,19990616,1330.41
108105,19990617,1339.9
108105,19990618,1342.84
108105,19990621,1349
108105,19990622,1335.88
108105,19990623,1333.06
108105,19990624,1315.78
108105,19990625,1315.31
108105,19990628,1331.35
108105,19990629,1351.45
108105,19990630,1372.71
108105,19990701,1380.96
108105,19990702,1391.22
108105,19990706,1388.12
